CD_MUN,NM_MUN_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual
3532702,Nipoã,350,276,4,280
3532801,Nova Aliança,1071,664,1,665
3532827,Nova Campina,6,0,0,0
3532843,Nova Canaã Paulista,54,42,2,44
3532868,Nova Castilho,245,109,0,109
3532900,Nova Europa,1149,543,0,543
3533007,Nova Granada,1726,1102,29,1131
3533106,Nova Guataporanga,141,88,5,93
3533205,Nova Independência,893,648,5,653
3533254,Novais,118,53,0,53
3533304,Nova Luzitânia,341,305,0,305
3533403,Nova Odessa,802,356,4,360
3533502,Novo Horizonte,2521,2164,13,2177
3533601,Nuporanga,162,10,0,10
3533700,Ocauçu,33,7,0,7
3533809,Óleo,0,0,0,0
3533908,Olímpia,3375,1665,19,1684
3534005,Onda Verde,481,283,3,286
3534104,Oriente,254,204,1,205
3534203,Orindiúva,1392,866,9,875
3534302,Orlândia,706,585,23,608
3534401,Osasco,1038,431,14,445
3534500,Oscar Bressane,246,178,2,180
3534609,Osvaldo Cruz,1316,894,0,894
3534708,Ourinhos,2955,1611,96,1707
3534757,Ouroeste,329,44,0,44
3534807,Ouro Verde,1035,510,3,513
3534906,Pacaembu,611,432,0,432
3535002,Palestina,1486,986,3,989
3535101,Palmares Paulista,512,271,7,278
3535200,Palmeira d'Oeste,1033,930,12,942
3535309,Palmital,137,28,3,31
3535408,Panorama,274,162,0,162
3535507,Paraguaçu Paulista,2823,2328,33,2361
3535606,Paraibuna,79,11,1,12
3535705,Paraíso,280,85,19,104
3535804,Paranapanema,17,2,0,2
3535903,Paranapuã,631,436,14,450
3536000,Parapuã,284,147,5,152
3536109,Pardinho,18,3,0,3
3536208,Pariquera-Açu,5,3,1,4
3536257,Parisi,179,80,2,82
3536307,Patrocínio Paulista,1939,251,19,270
3536406,Paulicéia,822,670,12,682
3536505,Paulínia,6885,5271,30,5301
3536570,Paulistânia,20,18,1,19
3536604,Paulo de Faria,598,322,6,328
3536703,Pederneiras,178,49,7,56
3536802,Pedra Bela,3,0,0,0
3536901,Pedranópolis,176,74,1,75
3537008,Pedregulho,193,136,2,138
3537107,Pedreira,581,309,9,318
3537156,Pedrinhas Paulista,41,4,4,8
3537206,Pedro de Toledo,3,0,0,0
3537305,Penápolis,3473,3215,6,3221
3537404,Pereira Barreto,353,223,2,225
3537503,Pereiras,28,23,3,26
3537602,Peruíbe,756,38,0,38
3537701,Piacatu,795,769,5,774
3537800,Piedade,70,6,0,6
3537909,Pilar do Sul,25,0,2,2
3538006,Pindamonhangaba,2388,374,0,374
3538105,Pindorama,696,440,1,441
3538204,Pinhalzinho,45,19,2,21
3538303,Piquerobi,157,61,1,62
3538501,Piquete,88,6,1,7
3538600,Piracaia,63,24,3,27
3538709,Piracicaba,8544,1443,0,1443
3538808,Piraju,92,17,4,21
3538907,Pirajuí,254,79,0,79
3539004,Pirangi,336,223,0,223
3539103,Pirapora do Bom Jesus,25,1,0,1
3539202,Pirapozinho,1137,466,6,472
3539301,Pirassununga,232,71,4,75
3539400,Piratininga,200,71,26,97
3539509,Pitangueiras,1074,736,6,742
3539608,Planalto,723,442,3,445
3539707,Platina,127,18,0,18
3539806,Poá,210,45,0,45
3539905,Poloni,521,387,1,388
3540002,Pompéia,163,143,1,144
3540101,Pongaí,23,12,10,22
3540200,Pontal,889,299,3,302
3540259,Pontalinda,374,228,4,232
3540309,Pontes Gestal,340,79,0,79
3540408,Populina,225,181,1,182
3540507,Porangaba,23,3,6,9
3540606,Porto Feliz,2862,1476,1,1477
3540705,Porto Ferreira,643,86,0,86
3540754,Potim,192,42,1,43
3540804,Potirendaba,463,334,3,337
3540853,Pracinha,20,17,0,17
3540903,Pradópolis,215,100,11,111
3541000,Praia Grande,364,30,1,31
3541059,Pratânia,6,0,0,0
3541109,Presidente Alves,5,2,0,2
3541208,Presidente Bernardes,337,179,1,180
3541307,Presidente Epitácio,801,368,4,372
3541406,Presidente Prudente,17513,7517,112,7629
3541505,Presidente Venceslau,1050,895,5,900
3541604,Promissão,753,169,1,170
3541653,Quadra,2,0,1,1
3541703,Quatá,858,614,3,617
3541802,Queiroz,720,566,0,566
3541901,Queluz,342,63,4,67
3542008,Quintana,699,501,17,518
3542107,Rafard,91,44,0,44
3542206,Rancharia,690,260,20,280
3542305,Redenção da Serra,16,0,1,1
3542404,Regente Feijó,2777,1039,7,1046
3542503,Reginópolis,190,86,3,89
3542602,Registro,13,6,0,6
3542701,Restinga,102,75,0,75
3542800,Ribeira,5,4,0,4
3542909,Ribeirão Bonito,904,547,1,548
3543006,Ribeirão Branco,9,0,2,2
3543105,Ribeirão Corrente,110,6,0,6
3543204,Ribeirão do Sul,61,11,0,11
3543238,Ribeirão dos Índios,49,23,3,26
3543253,Ribeirão Grande,4,0,2,2
3543303,Ribeirão Pires,210,4,10,14
3543402,Ribeirão Preto,18757,7444,26,7470
3543501,Riversul,13,0,2,2
3543600,Rifaina,20,7,0,7
3543709,Rincão,842,460,1,461
3543808,Rinópolis,1011,731,0,731
3543907,Rio Claro,2227,349,16,365
3544004,Rio das Pedras,125,8,0,8
3544103,Rio Grande da Serra,53,1,0,1
3544202,Riolândia,896,431,0,431
