CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3524402,Jacareí,565,240275
3,Sudeste,35,São Paulo,3524501,Jaci,16,7613
3,Sudeste,35,São Paulo,3524600,Jacupiranga,38,16097
3,Sudeste,35,São Paulo,3524709,Jaguariúna,109,59347
3,Sudeste,35,São Paulo,3524808,Jales,126,48776
3,Sudeste,35,São Paulo,3524907,Jambeiro,21,6397
3,Sudeste,35,São Paulo,3525003,Jandira,161,118045
3,Sudeste,35,São Paulo,3525102,Jardinópolis,78,45282
3,Sudeste,35,São Paulo,3525201,Jarinu,132,37535
3,Sudeste,35,São Paulo,3525300,Jaú,305,133497
3,Sudeste,35,São Paulo,3525409,Jeriquara,9,3863
3,Sudeste,35,São Paulo,3525508,Joanópolis,42,12815
3,Sudeste,35,São Paulo,3525607,João Ramalho,14,4371
3,Sudeste,35,São Paulo,3525706,José Bonifácio,75,36633
3,Sudeste,35,São Paulo,3525805,Júlio Mesquita,10,4254
3,Sudeste,35,São Paulo,3525854,Jumirim,14,3056
3,Sudeste,35,São Paulo,3525904,Jundiaí,1132,443221
3,Sudeste,35,São Paulo,3526001,Junqueirópolis,63,20448
3,Sudeste,35,São Paulo,3526100,Juquiá,46,17154
3,Sudeste,35,São Paulo,3526209,Juquitiba,114,27404
3,Sudeste,35,São Paulo,3526308,Lagoinha,17,5083
3,Sudeste,35,São Paulo,3526407,Laranjal Paulista,55,26261
3,Sudeste,35,São Paulo,3526506,Lavínia,21,9689
3,Sudeste,35,São Paulo,3526605,Lavrinhas,27,7171
3,Sudeste,35,São Paulo,3526704,Leme,170,98161
3,Sudeste,35,São Paulo,3526803,Lençóis Paulista,113,66505
3,Sudeste,35,São Paulo,3526902,Limeira,726,291869
3,Sudeste,35,São Paulo,3527009,Lindóia,19,7014
3,Sudeste,35,São Paulo,3527108,Lins,193,74779
3,Sudeste,35,São Paulo,3527207,Lorena,191,84855
3,Sudeste,35,São Paulo,3527256,Lourdes,10,1950
3,Sudeste,35,São Paulo,3527306,Louveira,83,51847
3,Sudeste,35,São Paulo,3527405,Lucélia,46,20061
3,Sudeste,35,São Paulo,3527504,Lucianópolis,8,2372
3,Sudeste,35,São Paulo,3527603,Luís Antônio,33,12265
3,Sudeste,35,São Paulo,3527702,Luiziânia,11,4701
3,Sudeste,35,São Paulo,3527801,Lupércio,12,3981
3,Sudeste,35,São Paulo,3527900,Lutécia,10,2661
3,Sudeste,35,São Paulo,3528007,Macatuba,29,16829
3,Sudeste,35,São Paulo,3528106,Macaubal,20,7481
3,Sudeste,35,São Paulo,3528205,Macedônia,13,3963
3,Sudeste,35,São Paulo,3528304,Magda,9,3165
3,Sudeste,35,São Paulo,3528403,Mairinque,99,50027
3,Sudeste,35,São Paulo,3528502,Mairiporã,428,93853
3,Sudeste,35,São Paulo,3528601,Manduri,31,9871
3,Sudeste,35,São Paulo,3528700,Marabá Paulista,11,4573
3,Sudeste,35,São Paulo,3528809,Maracaí,35,12673
3,Sudeste,35,São Paulo,3528858,Marapoama,12,3292
3,Sudeste,35,São Paulo,3528908,Mariápolis,17,3513
3,Sudeste,35,São Paulo,3529005,Marília,540,237627
3,Sudeste,35,São Paulo,3529104,Marinópolis,7,1860
3,Sudeste,35,São Paulo,3529203,Martinópolis,59,24881
3,Sudeste,35,São Paulo,3529302,Matão,173,79033
3,Sudeste,35,São Paulo,3529401,Mauá,823,418261
3,Sudeste,35,São Paulo,3529500,Mendonça,18,6159
3,Sudeste,35,São Paulo,3529609,Meridiano,14,4572
3,Sudeste,35,São Paulo,3529658,Mesópolis,12,1952
3,Sudeste,35,São Paulo,3529708,Miguelópolis,61,19441
3,Sudeste,35,São Paulo,3529807,Mineiros do Tietê,32,11230
3,Sudeste,35,São Paulo,3529906,Miracatu,77,18553
3,Sudeste,35,São Paulo,3530003,Mira Estrela,21,3126
3,Sudeste,35,São Paulo,3530102,Mirandópolis,78,27983
3,Sudeste,35,São Paulo,3530201,Mirante do Paranapanema,45,15917
3,Sudeste,35,São Paulo,3530300,Mirassol,127,63337
3,Sudeste,35,São Paulo,3530409,Mirassolândia,17,4669
3,Sudeste,35,São Paulo,3530508,Mococa,149,67681
3,Sudeste,35,São Paulo,3530607,Mogi das Cruzes,949,451505
3,Sudeste,35,São Paulo,3530706,Mogi Guaçu,290,153658
3,Sudeste,35,São Paulo,3530805,Mogi Mirim,164,92558
3,Sudeste,35,São Paulo,3530904,Mombuca,8,3722
3,Sudeste,35,São Paulo,3531001,Monções,12,1937
3,Sudeste,35,São Paulo,3531100,Mongaguá,180,61951
3,Sudeste,35,São Paulo,3531209,Monte Alegre do Sul,31,8627
3,Sudeste,35,São Paulo,3531308,Monte Alto,118,47574
3,Sudeste,35,São Paulo,3531407,Monte Aprazível,49,22280
3,Sudeste,35,São Paulo,3531506,Monte Azul Paulista,49,18151
3,Sudeste,35,São Paulo,3531605,Monte Castelo,14,4222
3,Sudeste,35,São Paulo,3531704,Monteiro Lobato,15,4138
3,Sudeste,35,São Paulo,3531803,Monte Mor,120,64662
3,Sudeste,35,São Paulo,3531902,Morro Agudo,79,27933
3,Sudeste,35,São Paulo,3532009,Morungaba,33,13720
3,Sudeste,35,São Paulo,3532058,Motuca,12,4034
3,Sudeste,35,São Paulo,3532108,Murutinga do Sul,9,3737
3,Sudeste,35,São Paulo,3532157,Nantes,11,2660
3,Sudeste,35,São Paulo,3532207,Narandiba,19,5713
3,Sudeste,35,São Paulo,3532306,Natividade da Serra,32,6999
3,Sudeste,35,São Paulo,3532405,Nazaré Paulista,73,18217
3,Sudeste,35,São Paulo,3532504,Neves Paulista,23,9699
3,Sudeste,35,São Paulo,3532603,Nhandeara,25,9852
