CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3516705,Garça,8042,22,31,192,2514,3437,1495,214,69,33,12,28,18,21,8064
3516804,Gastão Vidigal,296,2,85,127,76,9,0,0,0,0,0,0,1,0,298
3516853,Gavião Peixoto,181,84,0,0,12,119,101,24,3,4,2,0,0,0,265
3516903,General Salgado,1201,4,27,118,476,431,132,14,2,3,0,1,1,0,1205
3517000,Getulina,32,1,1,1,6,5,13,2,2,0,1,1,1,0,33
3517109,Glicério,332,2,3,4,59,142,104,18,2,2,0,0,0,0,334
3517208,Guaiçara,98,1,0,4,9,34,33,7,3,1,0,0,1,7,99
3517307,Guaimbê,126,0,1,0,13,59,29,11,3,6,1,2,0,1,126
3517406,Guaíra,454,0,0,1,26,101,137,79,51,30,9,7,6,7,454
3517505,Guapiaçu,572,23,13,19,89,285,135,21,5,2,4,6,6,10,595
3517604,Guapiara,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3517703,Guará,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3517802,Guaraçaí,1340,9,3,63,383,610,234,40,4,8,2,0,0,2,1349
3517901,Guaraci,153,5,101,38,13,2,1,1,0,0,0,2,0,0,158
3518008,Guarani d'Oeste,41,0,0,0,0,4,0,0,1,0,0,5,8,23,41
3518107,Guarantã,18,0,5,1,1,6,2,2,0,0,0,1,0,0,18
3518206,Guararapes,809,1,8,10,87,279,262,86,44,17,6,5,3,3,810
3518305,Guararema,15,0,0,0,2,4,7,1,0,0,1,0,0,0,15
3518404,Guaratinguetá,50,1,3,4,9,5,5,8,2,4,0,5,2,4,51
3518503,Guareí,1,3,0,0,0,3,1,0,0,0,0,0,0,0,4
3518602,Guariba,1046,26,1,13,81,305,478,185,7,1,0,0,0,1,1072
3518701,Guarujá,81,5,9,3,6,11,15,4,4,2,3,9,10,10,86
3518800,Guarulhos,1048,23,27,24,95,387,376,61,21,11,7,11,28,23,1071
