CD_MUN,NM_MUN_x,Classificação_incidência,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3521309,Ipuã,Baixa,16794,83,49.0
3521408,Iracemápolis,Baixa,24982,87,35.0
3521507,Irapuã,Baixa,8101,9,11.0
3521606,Irapuru,Média,8356,151,181.0
3521705,Itaberá,Baixa,17405,8,5.0
3521804,Itaí,Baixa,27632,4,1.0
3521903,Itajobi,Alta,15331,1218,794.0
3522000,Itaju,Baixa,3937,17,43.0
3522109,Itanhaém,Baixa,104351,98,9.0
3522158,Itaoca,Baixa,3332,1,3.0
3522208,Itapecerica da Serra,Baixa,179574,10,1.0
3522307,Itapetininga,Baixa,167106,69,4.0
3522406,Itapeva,Baixa,95241,638,67.0
3522505,Itapevi,Baixa,244131,49,2.0
3522604,Itapira,Baixa,75683,122,16.0
3522653,Itapirapuã Paulista,Baixa,4294,1,2.0
3522703,Itápolis,Baixa,43536,291,67.0
3522802,Itaporanga,Alta,15197,473,311.0
3522901,Itapuí,Baixa,14297,140,98.0
3523008,Itapura,Baixa,4994,27,54.0
3523107,Itaquaquecetuba,Baixa,379082,359,9.0
3523206,Itararé,Baixa,50778,66,13.0
3523305,Itariri,Baixa,17754,1,1.0
3523404,Itatiba,Baixa,124254,223,18.0
3523503,Itatinga,Baixa,21139,4,2.0
3523602,Itirapina,Baixa,18610,72,39.0
3523701,Itirapuã,Média,6587,188,285.0
3523800,Itobi,Baixa,7862,2,3.0
3523909,Itu,Baixa,177150,503,28.0
3524006,Itupeva,Baixa,64330,161,25.0
3524105,Ituverava,Média,42259,514,122.0
3524204,Jaborandi,Média,6963,82,118.0
3524303,Jaboticabal,Baixa,78029,462,59.0
3524402,Jacareí,Baixa,237119,719,30.0
3524501,Jaci,Alta,7322,278,380.0
3524600,Jacupiranga,Baixa,17911,1,1.0
3524709,Jaguariúna,Baixa,59921,473,79.0
3524808,Jales,Alta,49291,2684,545.0
3524907,Jambeiro,Baixa,6828,2,3.0
3525003,Jandira,Baixa,127734,6,0.0
3525102,Jardinópolis,Baixa,45544,40,9.0
3525201,Jarinu,Baixa,31173,108,35.0
3525300,Jaú,Baixa,153463,722,47.0
3525409,Jeriquara,Média,3143,41,130.0
3525508,Joanópolis,Baixa,13453,9,7.0
3525607,João Ramalho,Média,4577,98,214.0
3525706,José Bonifácio,Alta,37707,2764,733.0
3525805,Júlio Mesquita,Média,4824,79,164.0
3525854,Jumirim,Baixa,3467,2,6.0
3525904,Jundiaí,Baixa,426935,589,14.0
3526001,Junqueirópolis,Alta,20978,1443,688.0
3526100,Juquiá,Baixa,18627,0,0.0
3526209,Juquitiba,Baixa,31844,184,58.0
3526308,Lagoinha,Baixa,4882,19,39.0
3526407,Laranjal Paulista,Baixa,29047,72,25.0
3526506,Lavínia,Baixa,12581,110,87.0
3526605,Lavrinhas,Baixa,7361,4,5.0
3526704,Leme,Baixa,105273,87,8.0
3526803,Lençóis Paulista,Baixa,69533,146,21.0
3526902,Limeira,Baixa,310783,619,20.0
3527009,Lindóia,Média,8201,144,176.0
3527108,Lins,Média,78978,1729,219.0
3527207,Lorena,Baixa,89532,20,2.0
3527256,Lourdes,Alta,2311,105,454.0
3527306,Louveira,Baixa,51007,119,23.0
3527405,Lucélia,Baixa,22022,212,96.0
3527504,Lucianópolis,Média,2412,51,211.0
3527603,Luís Antônio,Alta,15628,637,408.0
3527702,Luiziânia,Alta,5918,334,564.0
3527801,Lupércio,Baixa,4608,39,85.0
3527900,Lutécia,Alta,2623,253,965.0
3528007,Macatuba,Baixa,17263,76,44.0
3528106,Macaubal,Média,8174,83,102.0
3528205,Macedônia,Média,3686,78,212.0
3528304,Magda,Alta,3086,112,363.0
3528403,Mairinque,Baixa,47723,10,2.0
3528502,Mairiporã,Baixa,103645,42,4.0
3528601,Manduri,Baixa,9972,5,5.0
3528700,Marabá Paulista,Alta,6039,276,457.0
3528809,Maracaí,Baixa,14069,21,15.0
3528858,Marapoama,Média,3097,49,158.0
3528908,Mariápolis,Alta,4098,141,344.0
3529005,Marília,Baixa,242249,1060,44.0
3529104,Marinópolis,Alta,2101,201,957.0
3529203,Martinópolis,Alta,26791,1514,565.0
3529302,Matão,Alta,84069,2611,311.0
3529401,Mauá,Baixa,481725,90,2.0
3529500,Mendonça,Alta,5638,479,850.0
3529609,Meridiano,Alta,3813,127,333.0
3529658,Mesópolis,Alta,1903,60,315.0
3529708,Miguelópolis,Baixa,22480,5,2.0
3529807,Mineiros do Tietê,Baixa,13023,67,51.0
3529906,Miracatu,Baixa,19511,14,7.0
3530003,Mira Estrela,Alta,3125,145,464.0
3530102,Mirandópolis,Média,29844,602,202.0
3530201,Mirante do Paranapanema,Baixa,18415,166,90.0
3530300,Mirassol,Média,60768,1362,224.0
3530409,Mirassolândia,Baixa,4966,13,26.0
3530508,Mococa,Baixa,69072,24,3.0
3530607,Mogi das Cruzes,Baixa,455587,99,2.0
3530706,Mogi Guaçu,Média,154146,2164,140.0
3530805,Mogi Mirim,Baixa,94098,151,16.0
3530904,Mombuca,Baixa,3523,3,9.0
3531001,Monções,Alta,2274,252,1108.0
3531100,Mongaguá,Baixa,58567,15,3.0
3531209,Monte Alegre do Sul,Baixa,8181,3,4.0
3531308,Monte Alto,Média,51039,1530,300.0
3531407,Monte Aprazível,Média,25651,705,275.0
3531506,Monte Azul Paulista,Baixa,18928,129,68.0
3531605,Monte Castelo,Alta,4166,463,1111.0
3531704,Monteiro Lobato,Baixa,4739,4,8.0
3531803,Monte Mor,Baixa,61707,71,12.0
3531902,Morro Agudo,Média,33598,943,281.0
3532009,Morungaba,Baixa,13936,2,1.0
3532058,Motuca,Alta,4831,352,729.0
3532108,Murutinga do Sul,Alta,4525,246,544.0
3532157,Nantes,Baixa,3215,7,22.0
3532207,Narandiba,Média,4950,80,162.0
3532306,Natividade da Serra,Baixa,6624,0,0.0
3532405,Nazaré Paulista,Baixa,18866,6,3.0
3532504,Neves Paulista,Alta,8917,441,495.0
3532603,Nhandeara,Alta,11575,626,541.0
3532702,Nipoã,Alta,5381,280,520.0
3532801,Nova Aliança,Alta,7161,665,929.0
3532827,Nova Campina,Baixa,9962,0,0.0
3532843,Nova Canaã Paulista,Média,1824,44,241.0
3532868,Nova Castilho,Alta,1290,109,845.0
3532900,Nova Europa,Alta,11519,543,471.0
3533007,Nova Granada,Alta,21871,1131,517.0
3533106,Nova Guataporanga,Alta,2333,93,399.0
3533205,Nova Independência,Alta,4135,653,1579.0
3533254,Novais,Baixa,6057,53,88.0
3533304,Nova Luzitânia,Alta,4217,305,723.0
3533403,Nova Odessa,Baixa,61716,360,58.0
3533502,Novo Horizonte,Alta,41765,2177,521.0
3533601,Nuporanga,Baixa,7522,10,13.0
3533700,Ocauçu,Baixa,4294,7,16.0
3533809,Óleo,Baixa,2447,0,0.0
3533908,Olímpia,Alta,55477,1684,304.0
3534005,Onda Verde,Alta,4462,286,641.0
3534104,Oriente,Alta,6569,205,312.0
3534203,Orindiúva,Alta,7318,875,1196.0
3534302,Orlândia,Média,44682,608,136.0
3534401,Osasco,Baixa,701428,445,6.0
3534500,Oscar Bressane,Alta,2603,180,692.0
3534609,Osvaldo Cruz,Média,33118,894,270.0
3534708,Ourinhos,Média,115139,1707,148.0
3534757,Ouroeste,Baixa,10712,44,41.0
3534807,Ouro Verde,Alta,8676,513,591.0
3534906,Pacaembu,Alta,14326,432,302.0
3535002,Palestina,Alta,13285,989,744.0
3535101,Palmares Paulista,Média,13691,278,203.0
3535200,Palmeira d'Oeste,Alta,9173,942,1027.0
3535309,Palmital,Baixa,22322,31,14.0
3535408,Panorama,Média,15944,162,102.0
3535507,Paraguaçu Paulista,Alta,46180,2361,511.0
3535606,Paraibuna,Baixa,18302,12,7.0
3535705,Paraíso,Média,6536,104,159.0
3535804,Paranapanema,Baixa,20588,2,1.0
3535903,Paranapuã,Alta,4112,450,1094.0
3536000,Parapuã,Média,10934,152,139.0
3536109,Pardinho,Baixa,6579,3,5.0
3536208,Pariquera-Açu,Baixa,19797,4,2.0
3536257,Parisi,Alta,2177,82,377.0
3536307,Patrocínio Paulista,Média,14941,270,181.0
3536406,Paulicéia,Alta,7540,682,905.0
3536505,Paulínia,Alta,114508,5301,463.0
3536570,Paulistânia,Média,1835,19,104.0
3536604,Paulo de Faria,Alta,8973,328,366.0
3536703,Pederneiras,Baixa,47523,56,12.0
3536802,Pedra Bela,Baixa,6127,0,0.0
3536901,Pedranópolis,Alta,2468,75,304.0
3537008,Pedregulho,Baixa,16876,138,82.0
3537107,Pedreira,Baixa,48992,318,65.0
3537156,Pedrinhas Paulista,Baixa,3109,8,26.0
3537206,Pedro de Toledo,Baixa,11507,0,0.0
3537305,Penápolis,Alta,64098,3221,503.0
3537404,Pereira Barreto,Baixa,25685,225,88.0
3537503,Pereiras,Baixa,8875,26,29.0
3537602,Peruíbe,Baixa,69697,38,5.0
3537701,Piacatu,Alta,6093,774,1270.0
3537800,Piedade,Baixa,55731,6,1.0
3537909,Pilar do Sul,Baixa,29612,2,1.0
3538006,Pindamonhangaba,Baixa,171885,374,22.0
3538105,Pindorama,Média,17378,441,254.0
3538204,Pinhalzinho,Baixa,15564,21,13.0
3538303,Piquerobi,Média,3706,62,167.0
3538501,Piquete,Baixa,13495,7,5.0
3538600,Piracaia,Baixa,27617,27,10.0
3538709,Piracicaba,Baixa,410275,1443,35.0
3538808,Piraju,Baixa,29930,21,7.0
3538907,Pirajuí,Baixa,25939,79,30.0
3539004,Pirangi,Média,11524,223,194.0
3539103,Pirapora do Bom Jesus,Baixa,19453,1,1.0
3539202,Pirapozinho,Média,27974,472,169.0
3539301,Pirassununga,Baixa,77330,75,10.0
3539400,Piratininga,Baixa,13890,97,70.0
3539509,Pitangueiras,Média,40430,742,184.0
3539608,Planalto,Alta,5370,445,829.0
3539707,Platina,Baixa,3606,18,50.0
3539806,Poá,Baixa,119221,45,4.0
3539905,Poloni,Alta,6166,388,629.0
3540002,Pompéia,Baixa,22326,144,64.0
3540101,Pongaí,Baixa,3385,22,65.0
3540200,Pontal,Baixa,51717,302,58.0
3540259,Pontalinda,Alta,4719,232,492.0
3540309,Pontes Gestal,Alta,2576,79,307.0
3540408,Populina,Alta,4136,182,440.0
3540507,Porangaba,Baixa,10205,9,9.0
3540606,Porto Feliz,Média,53698,1477,275.0
3540705,Porto Ferreira,Baixa,56848,86,15.0
3540754,Potim,Baixa,25603,43,17.0
3540804,Potirendaba,Média,17668,337,191.0
3540853,Pracinha,Baixa,4327,17,39.0
3540903,Pradópolis,Baixa,22239,111,50.0
3541000,Praia Grande,Baixa,336454,31,1.0
3541059,Pratânia,Baixa,5371,0,0.0
3541109,Presidente Alves,Baixa,4067,2,5.0
3541208,Presidente Bernardes,Média,12943,180,139.0
3541307,Presidente Epitácio,Baixa,44572,372,83.0
3541406,Presidente Prudente,Alta,231953,7629,329.0
3541505,Presidente Venceslau,Média,39648,900,227.0
3541604,Promissão,Baixa,41211,170,41.0
3541653,Quadra,Baixa,3902,1,3.0
3541703,Quatá,Alta,14309,617,431.0
3541802,Queiroz,Alta,3513,566,1611.0
3541901,Queluz,Baixa,13788,67,49.0
3542008,Quintana,Alta,6736,518,769.0
3542107,Rafard,Baixa,9126,44,48.0
3542206,Rancharia,Baixa,29743,280,94.0
3542305,Redenção da Serra,Baixa,3827,1,3.0
3542404,Regente Feijó,Alta,20523,1046,510.0
3542503,Reginópolis,Baixa,10047,89,89.0
3542602,Registro,Baixa,56463,6,1.0
3542701,Restinga,Baixa,7762,75,97.0
3542800,Ribeira,Baixa,3320,4,12.0
3542909,Ribeirão Bonito,Alta,13376,548,410.0
3543006,Ribeirão Branco,Baixa,15984,2,1.0
3543105,Ribeirão Corrente,Baixa,4786,6,13.0
3543204,Ribeirão do Sul,Baixa,4537,11,24.0
3543238,Ribeirão dos Índios,Média,2222,26,117.0
3543253,Ribeirão Grande,Baixa,7686,2,3.0
3543303,Ribeirão Pires,Baixa,125238,14,1.0
3543402,Ribeirão Preto,Média,720116,7470,104.0
3543501,Riversul,Baixa,5364,2,4.0
3543600,Rifaina,Baixa,3651,7,19.0
3543709,Rincão,Alta,10824,461,426.0
3543808,Rinópolis,Alta,9940,731,735.0
3543907,Rio Claro,Baixa,209548,365,17.0
3544004,Rio das Pedras,Baixa,36233,8,2.0
3544103,Rio Grande da Serra,Baixa,52009,1,0.0
3544202,Riolândia,Alta,12856,431,335.0
3544251,Rosana,Alta,15929,673,422.0
3544301,Roseira,Baixa,10888,38,35.0
3544400,Rubiácea,Alta,3195,113,354.0
3544509,Rubinéia,Média,3191,95,298.0
3544608,Sabino,Baixa,5638,9,16.0
3544707,Sagres,Baixa,2427,23,95.0
3544806,Sales,Baixa,6481,26,40.0
3544905,Sales Oliveira,Baixa,12103,48,40.0
3545001,Salesópolis,Baixa,17363,0,0.0
3545100,Salmourão,Média,5372,77,143.0
3545159,Saltinho,Média,8498,90,106.0
3545209,Salto,Baixa,120779,599,50.0
3545308,Salto de Pirapora,Baixa,46285,10,2.0
3545407,Salto Grande,Média,9396,112,119.0
3545506,Sandovalina,Média,4405,65,148.0
3545605,Santa Adélia,Média,15639,315,201.0
3545704,Santa Albertina,Alta,6036,606,1004.0
3545803,Santa Bárbara d'Oeste,Alta,195278,5973,306.0
3546009,Santa Branca,Baixa,14925,7,5.0
3546108,Santa Clara d'Oeste,Alta,2111,164,777.0
3546207,Santa Cruz da Conceição,Baixa,4584,8,17.0
3546256,Santa Cruz da Esperança,Baixa,2166,18,83.0
3546306,Santa Cruz das Palmeiras,Baixa,35102,114,32.0
3546405,Santa Cruz do Rio Pardo,Alta,48207,1848,383.0
3546504,Santa Ernestina,Média,5577,139,249.0
3546603,Santa Fé do Sul,Alta,32796,1020,311.0
3546702,Santa Gertrudes,Média,27850,307,110.0
3546801,Santa Isabel,Baixa,58529,39,7.0
3546900,Santa Lúcia,Alta,8889,653,735.0
3547007,Santa Maria da Serra,Baixa,6298,10,16.0
3547106,Santa Mercedes,Alta,2947,558,1893.0
3547205,Santana da Ponte Pensa,Alta,1448,133,919.0
3547304,Santana de Parnaíba,Baixa,145073,133,9.0
3547403,Santa Rita d'Oeste,Alta,2476,218,880.0
3547502,Santa Rita do Passa Quatro,Média,27641,769,278.0
3547601,Santa Rosa de Viterbo,Baixa,26960,258,96.0
3547650,Santa Salete,Alta,1558,308,1977.0
3547700,Santo Anastácio,Baixa,20855,149,71.0
3547809,Santo André,Baixa,723889,156,2.0
3547908,Santo Antônio da Alegria,Baixa,7024,31,44.0
3548005,Santo Antônio de Posse,Baixa,23742,186,78.0
3548054,Santo Antônio do Aracanguá,Alta,8541,368,431.0
3548104,Santo Antônio do Jardim,Baixa,5926,2,3.0
3548203,Santo Antônio do Pinhal,Baixa,6843,1,1.0
3548302,Santo Expedito,Alta,3159,232,734.0
3548401,Santópolis do Aguapeí,Alta,4856,174,358.0
3548500,Santos,Baixa,433991,393,9.0
3548609,São Bento do Sapucaí,Baixa,10907,0,0.0
