CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3502754.0,Araçariguama,Q1 - Baixa,0,21.0,23343.0,5.0,7395,3,51,7395,21445,8,51,7043,147,188,6,0,0,5848,654,391,351,98,0,0,0,5601,573,381,337,98,0,0,0,46,81,6,9,0,0,0,0,184,0,3,0,0,0,0,0,7319,36,19,4206,260,1495,952,0,400,3,0,6595,455,162,0,0,149,169,1351,119,1297,48,49,0,3,16938,1903,1250,1001,316,0,7,15,21233,129,78,11997,791,4510,2837,19,1236,28,0,19181,1308,446,0,0,496,518,3981,58,580
3502804.0,Araçatuba,Q3 - Alta,7,1417.0,199210.0,2822.0,77766,30,189,77766,199516,56,249,61602,3054,12972,27,0,0,75670,1844,130,8,0,0,0,7,60010,1365,130,8,0,0,0,7,2967,84,0,0,0,0,0,0,12569,374,0,0,0,0,0,0,77655,59,9,75617,108,1145,786,0,9,3,0,72591,4651,429,8,0,17,528,1477,132,1395,16,65,373,3,194018,5011,363,29,4,0,10,20,199241,214,32,193875,283,3100,2141,6,23,17,15,187034,11165,1170,43,7,52,1480,3973,108,412
3502903.0,Araçoiaba da Serra,Q1 - Baixa,8,51.0,35389.0,18.0,11775,0,93,11775,32316,0,112,10997,734,13,0,0,5,9987,878,779,9,6,0,0,8,9236,859,772,9,6,0,0,8,713,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11599,41,83,4259,91,5022,2266,3,3,10,0,9812,1848,51,0,0,4,471,1242,470,1221,0,12,0,0,27301,2610,2174,67,32,0,11,76,31802,205,291,11840,306,13560,6468,4,23,50,0,26824,5217,179,8,0,58,1425,3565,91,368
3503000.0,Aramina,Q2 - Moderada,0,176.0,5689.0,10.0,2001,3,0,2001,5404,14,0,1995,0,0,0,0,0,1867,78,30,15,0,0,0,0,1864,75,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,1827,56,40,68,0,0,0,0,1884,77,35,0,0,0,28,98,26,97,0,0,0,0,5075,207,75,37,0,0,9,0,5398,6,0,4970,162,101,165,0,0,3,0,5111,184,97,6,0,0,73,255,4,19
3503109.0,Arandu,Q1 - Baixa,0,0.0,6373.0,0.0,2375,0,59,2375,6804,0,59,2356,14,0,0,0,0,1851,356,15,129,3,0,0,0,1848,342,15,129,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363,0,0,1758,91,327,178,0,0,0,0,2219,93,43,0,0,5,185,330,172,329,13,0,0,0,5305,1024,50,392,8,7,0,5,6783,6,7,5046,293,892,559,0,0,0,0,6388,241,142,15,3,11,555,937,76,125
3503158.0,Arapeí,Q1 - Baixa,0,0.0,2452.0,0.0,885,0,0,885,2330,0,0,880,0,3,0,0,0,709,25,15,127,0,0,0,0,704,25,15,127,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,878,0,0,640,0,158,42,28,8,0,0,739,114,27,0,0,0,15,154,15,154,0,0,0,0,1816,66,46,392,0,0,0,6,2319,4,0,1643,0,426,145,95,17,0,0,1921,337,62,0,9,0,40,472,6,54
3503208.0,Araraquara,Q4 - Muito Alta,7,8700.0,240542.0,20928.0,92504,11,1323,92504,240399,41,1396,74727,3197,14444,3,0,0,91166,921,215,71,7,0,0,12,73509,821,214,70,7,0,0,12,3179,16,0,0,0,0,0,0,14345,82,0,0,0,0,0,0,92414,16,12,91251,53,581,501,3,0,13,0,89461,2591,266,16,0,63,297,939,209,919,0,15,82,0,236674,2736,626,214,20,5,0,60,240190,98,66,236904,195,1632,1541,6,3,44,3,233654,5678,752,63,3,192,905,2765,50,293
3503307.0,Araras,Q3 - Alta,4,2148.0,136739.0,2937.0,47968,0,183,47968,130510,16,208,41043,1145,5699,8,0,0,46215,1144,347,96,90,0,0,0,39760,719,346,66,90,0,0,0,1089,24,0,25,0,0,0,0,5294,392,0,0,0,0,0,0,47887,0,44,46405,151,606,701,4,6,7,0,46517,1153,190,0,0,22,670,1008,277,945,0,53,392,0,125705,3239,922,299,235,7,23,38,130308,57,117,126068,522,1797,1963,30,21,49,9,126719,3017,604,20,0,101,1911,2854,263,320
3503356.0,Arco-Íris,Q4 - Muito Alta,0,6040.0,1755.0,106.0,731,0,0,731,2037,0,0,730,0,0,0,0,0,546,165,4,3,0,0,0,0,545,165,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,166,0,546,178,0,0,0,0,0,0,554,47,111,13,0,0,179,0,179,0,0,0,0,0,1556,435,21,14,0,0,0,4,1594,438,0,1553,473,0,6,0,0,0,0,1570,120,303,38,0,0,473,3,44,0
3503406.0,Arealva,Q2 - Moderada,0,473.0,8665.0,41.0,3075,0,32,3075,8085,0,34,3015,55,0,0,0,0,2365,580,58,41,0,0,3,0,2342,545,58,41,0,0,3,0,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063,9,0,2212,3,498,330,0,0,0,0,2479,386,144,16,0,29,115,569,115,536,0,31,0,0,6200,1573,175,118,0,0,7,3,8046,36,0,5812,28,1333,905,0,0,0,0,6475,1052,405,68,5,76,343,1531,38,139
