CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3509809,Campos Novos Paulista,5028,207,207,0,1,2,34,84,70,13,2,0,1,0,0,0,412.0,Alta
3509908,Cananéia,12542,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2.0,Baixa
3509957,Canas,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3510005,Cândido Mota,31410,60,53,7,3,7,5,14,13,8,2,0,2,0,4,2,19.0,Baixa
3510104,Cândido Rodrigues,2805,53,53,0,0,0,0,0,5,12,12,12,8,3,1,0,189.0,Média
3510153,Canitar,5365,59,53,6,0,0,2,30,15,7,3,1,1,0,0,0,110.0,Média
3510203,Capão Bonito,47098,27,18,9,0,0,9,10,4,2,0,0,0,0,1,1,6.0,Baixa
3510302,Capela do Alto,21257,23,10,13,0,0,2,2,10,5,1,2,0,0,0,1,11.0,Baixa
3510401,Capivari,56973,127,126,1,1,1,10,40,59,13,2,0,1,0,0,0,22.0,Baixa
3510500,Caraguatatuba,125194,224,217,7,16,4,13,35,41,38,23,11,5,10,21,7,18.0,Baixa
3510609,Carapicuíba,405375,152,148,4,2,3,26,51,47,16,3,2,0,0,2,0,4.0,Baixa
3510708,Cardoso,12371,224,223,1,13,23,81,80,15,1,2,0,1,2,4,2,181.0,Média
3510807,Casa Branca,30655,5,4,1,1,0,0,0,3,0,1,0,0,0,0,0,2.0,Baixa
3510906,Cássia dos Coqueiros,2488,16,11,5,1,0,3,5,5,2,0,0,0,0,0,0,64.0,Baixa
3511003,Castilho,21521,571,570,1,5,30,83,160,162,29,20,20,10,6,18,28,265.0,Média
3511102,Catanduva,123114,3731,3695,36,40,95,611,1293,1010,355,113,80,34,45,26,29,303.0,Alta
3511201,Catiguá,7905,261,258,3,0,8,40,119,72,13,2,0,2,0,3,2,330.0,Alta
3511300,Cedral,9452,846,731,115,26,19,85,243,278,80,51,28,8,12,8,8,895.0,Alta
3511409,Cerqueira César,20391,12,11,1,0,0,0,6,3,0,1,1,0,0,1,0,6.0,Baixa
3511508,Cerquilho,50631,247,220,27,0,0,41,92,90,9,8,2,1,1,2,1,49.0,Baixa
3511607,Cesário Lange,18595,178,175,3,0,2,17,15,43,35,47,18,0,1,0,0,96.0,Baixa
3511706,Charqueada,17539,559,555,4,0,11,88,300,116,27,9,5,2,0,1,0,319.0,Alta
3511904,Clementina,8894,243,240,3,6,21,115,50,45,6,0,0,0,0,0,0,273.0,Média
